"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.359","0.274","0.469","0.286","0.449"
"c_age","0.993","0.978","1.008","0.981","1.006"
"c_is_male","0.665","0.433","1.022","0.464","0.954"
"c_is_latino","0.880","0.545","1.419","0.589","1.314"
"c_is_not_latino_and_black","1.218","0.751","1.975","0.812","1.827"
"c_is_not_latino_and_other","1.881","0.972","3.642","1.081","3.275"
"c_baseline_tobacco_history","1.030","1.008","1.052","1.011","1.048"
"c_has_partner","1.576","1.108","2.240","1.173","2.117"
"c_income_val","1.000","0.930","1.074","0.941","1.062"
"c_any_prompt","0.910","0.746","1.110","0.770","1.075"
"c_substance_is_any_tobacco","6.307","4.374","9.094","4.639","8.575"
"Y","1.117","0.831","1.500","0.872","1.430"
